,Ciudad,Year,DOW,Accidentes,Habitantes,AccidentesNormalizado
56,Bucaramanga,2012,1,650,608947,1067.4163761378247
57,Bucaramanga,2012,2,588,608947,965.6012756446785
58,Bucaramanga,2012,3,647,608947,1062.4898390171886
59,Bucaramanga,2012,4,647,608947,1062.4898390171886
60,Bucaramanga,2012,5,595,608947,977.0965289261626
61,Bucaramanga,2012,6,705,608947,1157.7362233494869
62,Bucaramanga,2012,7,511,608947,839.1534895483516
63,Bucaramanga,2013,1,537,608947,881.8501445938645
64,Bucaramanga,2013,2,615,608947,1009.9401097304036
65,Bucaramanga,2013,3,559,608947,917.9780834785292
66,Bucaramanga,2013,4,625,608947,1026.3619001325237
67,Bucaramanga,2013,5,592,608947,972.1699918055266
68,Bucaramanga,2013,6,638,608947,1047.7102276552803
69,Bucaramanga,2013,7,488,608947,801.3833716234747
70,Bucaramanga,2014,1,528,608947,867.0705332319561
71,Bucaramanga,2014,2,529,608947,868.7127122721682
72,Bucaramanga,2014,3,533,608947,875.2814284330163
73,Bucaramanga,2014,4,527,608947,865.4283541917441
74,Bucaramanga,2014,5,575,608947,944.2529481219219
75,Bucaramanga,2014,6,598,608947,982.0230660467987
76,Bucaramanga,2014,7,434,608947,712.7057034520246
175,Medellin,2014,1,3150,2570327,1225.5250012936096
176,Medellin,2014,2,3314,2570327,1289.3301124720706
177,Medellin,2014,3,3372,2570327,1311.8953347181118
178,Medellin,2014,4,3252,2570327,1265.2086680021648
179,Medellin,2014,5,3308,2570327,1286.9957791362733
180,Medellin,2014,6,3202,2570327,1245.7558902038534
181,Medellin,2014,7,2817,2570327,1095.9695011568567
0,Barranquilla,2015,1,884,1311856,673.8544474393532
1,Barranquilla,2015,2,975,1311856,743.2218170286983
2,Barranquilla,2015,3,947,1311856,721.8780110012075
3,Barranquilla,2015,4,967,1311856,737.1235867351295
4,Barranquilla,2015,5,980,1311856,747.0332109621787
5,Barranquilla,2015,6,886,1311856,675.3790050127452
6,Barranquilla,2015,7,598,1311856,455.84271444426827
77,Bucaramanga,2015,1,564,608947,926.1889786795895
78,Bucaramanga,2015,2,547,608947,898.2719349959849
79,Bucaramanga,2015,3,553,608947,908.1250092372571
80,Bucaramanga,2015,4,519,608947,852.2909218700478
81,Bucaramanga,2015,5,561,608947,921.2624415589535
82,Bucaramanga,2015,6,612,608947,1005.0135726097675
83,Bucaramanga,2015,7,409,608947,671.6512274467235
182,Medellin,2015,1,6561,2570327,2552.5935026944044
183,Medellin,2015,2,6980,2570327,2715.6077806442527
184,Medellin,2015,3,6676,2570327,2597.33489163052
185,Medellin,2015,4,6858,2570327,2668.143002816373
186,Medellin,2015,5,7051,2570327,2743.230725117855
187,Medellin,2015,6,6657,2570327,2589.942836067162
188,Medellin,2015,7,5389,2570327,2096.620391101988
7,Barranquilla,2016,1,950,1311856,724.1648473612958
8,Barranquilla,2016,2,1036,1311856,789.7208230171605
9,Barranquilla,2016,3,963,1311856,734.074471588345
10,Barranquilla,2016,4,958,1311856,730.2630776548646
11,Barranquilla,2016,5,1096,1311856,835.4575502189265
12,Barranquilla,2016,6,922,1311856,702.8210413338049
13,Barranquilla,2016,7,595,1311856,453.55587808418
84,Bucaramanga,2016,1,536,608947,880.2079655536525
85,Bucaramanga,2016,2,598,608947,982.0230660467987
86,Bucaramanga,2016,3,529,608947,868.7127122721682
87,Bucaramanga,2016,4,520,608947,853.9331009102598
88,Bucaramanga,2016,5,515,608947,845.7222057091996
89,Bucaramanga,2016,6,579,608947,950.8216642827701
90,Bucaramanga,2016,7,456,608947,748.8336423366894
133,Envigado,2016,1,1672,241863,6913.004469472387
134,Envigado,2016,2,1922,241863,7946.6474822523505
135,Envigado,2016,3,1998,241863,8260.874958137458
136,Envigado,2016,4,1912,241863,7905.3017617411515
137,Envigado,2016,5,1883,241863,7785.399172258675
138,Envigado,2016,6,1822,241863,7533.190277140365
139,Envigado,2016,7,1337,241863,5527.922832347238
189,Medellin,2016,1,6657,2570327,2589.942836067162
190,Medellin,2016,2,6895,2570327,2682.538058387124
191,Medellin,2016,3,7088,2570327,2757.625780688605
192,Medellin,2016,4,7094,2570327,2759.9601140244026
193,Medellin,2016,5,7054,2570327,2744.3978917857535
194,Medellin,2016,6,6691,2570327,2603.1707249700135
195,Medellin,2016,7,5622,2570327,2187.2703356421184
14,Barranquilla,2017,1,832,1311856,634.2159505311558
15,Barranquilla,2017,2,1044,1311856,795.8190533107293
16,Barranquilla,2017,3,967,1311856,737.1235867351295
17,Barranquilla,2017,4,933,1311856,711.206107987462
18,Barranquilla,2017,5,1040,1311856,792.7699381639447
19,Barranquilla,2017,6,962,1311856,733.312192801649
20,Barranquilla,2017,7,611,1311856,465.7523386713176
91,Bucaramanga,2017,1,512,608947,840.7956685885636
92,Bucaramanga,2017,2,554,608947,909.7671882774691
93,Bucaramanga,2017,3,556,608947,913.0515463578931
94,Bucaramanga,2017,4,555,608947,911.4093673176812
95,Bucaramanga,2017,5,570,608947,936.0420529208617
96,Bucaramanga,2017,6,597,608947,980.3808870065868
97,Bucaramanga,2017,7,463,608947,760.3288956181736
140,Envigado,2017,1,654,241863,2704.0101214323813
141,Envigado,2017,2,792,241863,3274.5810644869202
142,Envigado,2017,3,697,241863,2881.796719630535
143,Envigado,2017,4,711,241863,2939.6807283462126
144,Envigado,2017,5,836,241863,3456.5022347361937
145,Envigado,2017,6,798,241863,3299.3884967936397
146,Envigado,2017,7,396,241863,1637.2905322434601
196,Medellin,2017,1,6592,2570327,2564.654224929357
197,Medellin,2017,2,7101,2570327,2762.6835029161657
198,Medellin,2017,3,6876,2570327,2675.1460028237652
199,Medellin,2017,4,6475,2570327,2519.1347248813086
200,Medellin,2017,5,7304,2570327,2841.6617807773096
201,Medellin,2017,6,6435,2570327,2503.57250264266
202,Medellin,2017,7,5418,2570327,2107.9030022250085
21,Barranquilla,2018,1,869,1311856,662.4202656389116
22,Barranquilla,2018,2,907,1311856,691.3868595333635
23,Barranquilla,2018,3,936,1311856,713.4929443475504
24,Barranquilla,2018,4,892,1311856,679.9526777329219
25,Barranquilla,2018,5,869,1311856,662.4202656389116
26,Barranquilla,2018,6,875,1311856,666.9939383590881
27,Barranquilla,2018,7,550,1311856,419.25333268285544
98,Bucaramanga,2018,1,539,608947,885.1345026742886
99,Bucaramanga,2018,2,573,608947,940.9685900414979
100,Bucaramanga,2018,3,594,608947,975.4543498859507
101,Bucaramanga,2018,4,572,608947,939.3264110012858
102,Bucaramanga,2018,5,587,608947,963.9590966044664
103,Bucaramanga,2018,6,585,608947,960.6747385240423
104,Bucaramanga,2018,7,460,608947,755.4023584975375
147,Envigado,2018,1,885,241863,3659.0962652410662
148,Envigado,2018,2,915,241863,3783.133426774662
149,Envigado,2018,3,860,241863,3555.73196396307
150,Envigado,2018,4,918,241863,3795.5371429280212
151,Envigado,2018,5,894,241863,3696.307413701145
152,Envigado,2018,6,836,241863,3456.5022347361937
153,Envigado,2018,7,603,241863,2493.1469468252685
203,Medellin,2018,1,6694,2570327,2604.3378916379124
204,Medellin,2018,2,6207,2570327,2414.8678358823604
205,Medellin,2018,3,6495,2570327,2526.9158360006336
206,Medellin,2018,4,6527,2570327,2539.3656137915527
207,Medellin,2018,5,6451,2570327,2509.7973915381194
208,Medellin,2018,6,6159,2570327,2396.1931691959817
209,Medellin,2018,7,4825,2570327,1877.193057537037
28,Barranquilla,2019,1,831,1311856,633.4536717444597
29,Barranquilla,2019,2,920,1311856,701.2964837604127
30,Barranquilla,2019,3,832,1311856,634.2159505311558
31,Barranquilla,2019,4,810,1311856,617.4458172238417
32,Barranquilla,2019,5,912,1311856,695.1982534668439
33,Barranquilla,2019,6,798,1311856,608.2984717834885
34,Barranquilla,2019,7,542,1311856,413.15510238928664
105,Bucaramanga,2019,1,516,608947,847.3643847494117
106,Bucaramanga,2019,2,608,608947,998.4448564489192
107,Bucaramanga,2019,3,534,608947,876.9236074732283
108,Bucaramanga,2019,4,549,608947,901.5562930764089
109,Bucaramanga,2019,5,531,608947,871.9970703525922
110,Bucaramanga,2019,6,560,608947,919.6202625187414
111,Bucaramanga,2019,7,426,608947,699.5682711303283
154,Envigado,2019,1,863,241863,3568.1356801164293
155,Envigado,2019,2,1098,241863,4539.760112129594
156,Envigado,2019,3,984,241863,4068.4188983019308
157,Envigado,2019,4,1017,241863,4204.859775988886
158,Envigado,2019,5,1040,241863,4299.954933164643
159,Envigado,2019,6,1138,241863,4705.142994174387
160,Envigado,2019,7,776,241863,3208.4279116690027
210,Medellin,2019,1,6439,2570327,2505.1287248665244
211,Medellin,2019,2,7065,2570327,2748.6775029013816
212,Medellin,2019,3,6853,2570327,2666.197725036542
213,Medellin,2019,4,6681,2570327,2599.2801694103514
214,Medellin,2019,5,6924,2570327,2693.820669510144
215,Medellin,2019,6,6554,2570327,2549.8701138026404
216,Medellin,2019,7,5279,2570327,2053.8242799457034
35,Barranquilla,2020,1,496,1311856,378.09027820126596
36,Barranquilla,2020,2,540,1311856,411.63054481589444
37,Barranquilla,2020,3,508,1311856,387.2376236416192
38,Barranquilla,2020,4,504,1311856,384.1885084948348
39,Barranquilla,2020,5,482,1311856,367.4183751875206
40,Barranquilla,2020,6,470,1311856,358.27102974716735
41,Barranquilla,2020,7,281,1311856,214.20033906160432
112,Bucaramanga,2020,1,239,608947,392.48079061067716
113,Bucaramanga,2020,2,281,608947,461.45231029958273
114,Bucaramanga,2020,3,305,608947,500.86460726467163
115,Bucaramanga,2020,4,313,608947,514.002039586368
116,Bucaramanga,2020,5,324,608947,532.0660090287004
117,Bucaramanga,2020,6,298,608947,489.3693539831874
118,Bucaramanga,2020,7,258,608947,423.68219237470583
161,Envigado,2020,1,610,241863,2522.088951183108
162,Envigado,2020,2,647,241863,2675.0681170745424
163,Envigado,2020,3,633,241863,2617.1841083588643
164,Envigado,2020,4,747,241863,3088.525322186527
165,Envigado,2020,5,671,241863,2774.2978463014183
166,Envigado,2020,6,597,241863,2468.3395145185495
167,Envigado,2020,7,461,241863,1906.0377155662504
217,Medellin,2020,1,2795,2570327,1087.4102789255996
218,Medellin,2020,2,2949,2570327,1147.3248345443983
219,Medellin,2020,3,2769,2570327,1077.2948344704778
220,Medellin,2020,4,3201,2570327,1245.3668346478871
221,Medellin,2020,5,3166,2570327,1231.7498901890692
222,Medellin,2020,6,2639,2570327,1026.7176121948685
223,Medellin,2020,7,2198,2570327,855.1441120137632
224,Palmira,2020,1,372,284508,1307.520350921591
225,Palmira,2020,2,354,284508,1244.2532371673203
226,Palmira,2020,3,316,284508,1110.6893303527493
227,Palmira,2020,4,328,284508,1152.8674061889296
228,Palmira,2020,5,386,284508,1356.7281060638013
229,Palmira,2020,6,332,284508,1166.9267648009898
230,Palmira,2020,7,292,284508,1026.3331786803885
42,Barranquilla,2021,1,690,1311856,525.9723628203096
43,Barranquilla,2021,2,754,1311856,574.75820516886
44,Barranquilla,2021,3,671,1311856,511.48906587308363
45,Barranquilla,2021,4,681,1311856,519.1118537400447
46,Barranquilla,2021,5,746,1311856,568.6599748752911
47,Barranquilla,2021,6,672,1311856,512.2513446597796
48,Barranquilla,2021,7,486,1311856,370.46749033430496
119,Bucaramanga,2021,1,380,608947,624.0280352805745
120,Bucaramanga,2021,2,373,608947,612.5327819990902
121,Bucaramanga,2021,3,390,608947,640.449825682695
122,Bucaramanga,2021,4,392,608947,643.734183763119
123,Bucaramanga,2021,5,402,608947,660.1559741652393
124,Bucaramanga,2021,6,428,608947,702.8526292107523
125,Bucaramanga,2021,7,320,608947,525.4972928678523
168,Envigado,2021,1,323,241863,1335.4667725117113
169,Envigado,2021,2,371,241863,1533.926230965464
170,Envigado,2021,3,356,241863,1471.907650198666
171,Envigado,2021,4,324,241863,1339.6013445628312
172,Envigado,2021,5,367,241863,1517.3879427609845
173,Envigado,2021,6,401,241863,1657.9633924990594
174,Envigado,2021,7,240,241863,992.2972922687637
49,Barranquilla,2022,1,266,1311856,202.76615726116282
50,Barranquilla,2022,2,274,1311856,208.86438755473162
51,Barranquilla,2022,3,271,1311856,206.57755119464332
52,Barranquilla,2022,4,224,1311856,170.75044821992657
53,Barranquilla,2022,5,271,1311856,206.57755119464332
54,Barranquilla,2022,6,259,1311856,197.4302057542901
55,Barranquilla,2022,7,149,1311856,113.57953921771902
126,Bucaramanga,2022,1,91,608947,149.43829265929548
127,Bucaramanga,2022,2,130,608947,213.48327522756495
128,Bucaramanga,2022,3,104,608947,170.786620182052
129,Bucaramanga,2022,4,132,608947,216.76763330798903
130,Bucaramanga,2022,5,128,608947,210.1989171471409
131,Bucaramanga,2022,6,131,608947,215.125454267777
132,Bucaramanga,2022,7,126,608947,206.9145590667168
