Departamento;Habitantes
Antioquia;6677930
Atlántico;2722128
Bogotá, D.C.;7743955
Bolívar;2180976
Boyacá;1242731
Caldas;1018453
Caquetá;410521
Cauca;1491937
Cesar;1295387
Córdoba;1828947
Cundinamarca;3242999
Chocó;544764
Huila;1122622
Guajira;965718
Magdalena;1427026
Meta;1063454
Nariño;1627589
Norte de Santander;1620318
Quindío;555401
Risaralda;961055
Santander;2280908
Sucre;949252
Tolima;1339998
Valle del Cauca;4532152
Arauca;294206
Casanare;435195
Putumayo;359127
San Andres y Providencia;63692
Amazonas;79020
Guainía;50636
Guaviare;86657
Vaupés;44712
Vichada;112958
